acc_varname,groupid,LegacyName
Acanthus,HERB,Acanthaceae
Acer campestre-type,TRSH,Acer
Matricaria-type,HERB,Asteraceae undiff.
Allium-type,HERB,Amaryllidaceae
Alnus,TRSH,Alnus
Apiaceae,HERB,Apiaceae
Artemisia,HERB,Artemisia
Asparagus,HERB,Asparagaceae
Asphodelus,HERB,Asphodelaceae
Astragalus-type,HERB,Fabaceae
Aster-type,HERB,Asteraceae undiff.
Betula,TRSH,Betula
Brassicaceae,HERB,Brassicaceae
Bupleurum,HERB,Apiaceae
Carduus,HERB,Asteraceae undiff.
Carpinus betulus,TRSH,Ostrya.Carpinus
Carya,TRSH,Carya
Caryophyllaceae (periporate excl. Paronychioideae),HERB,Caryophyllaceae
Castanea sativa,TRSH,Castanea
Centaurium,HERB,Gentianaceae
Cerastium-type,HERB,Caryophyllaceae
Cerealia-type,HERB,Poaceae
Chamaerops humilis,TRSH,Chamaerops
Chenopodiaceae/Amaranthaceae,HERB,Amaranthaceae
Asteraceae subf. Cichorioideae,HERB,Asteraceae undiff.
Cistaceae,HERB,Cistaceae
Cistus,TRSH,Cistaceae
Clematis,TRSH,Ranunculaceae
Centaurea nigra-type,HERB,Asteraceae undiff.
Plantago coronopus-type,HERB,Plantaginaceae
Corylus,TRSH,Corylus
Cyclamen,HERB,Primulaceae
Cyperaceae,HERB,Cyperaceae
Daphne,TRSH,Thymelaeaceae
Daucus,HERB,Apiaceae
Ephedra fragilis-type,TRSH,Ephedraceae
Ephedra distachya-type,TRSH,Ephedraceae
Erica,TRSH,Ericales
Eucalyptus,TRSH,Eucalyptus
Euphorbia,HERB,Euphorbiaceae
Fabaceae,HERB,Fabaceae
Fagus,TRSH,Fagus
Falcaria-type,HERB,Apiaceae
Fraxinus ornus,TRSH,Fraxinus
Filipendula,HERB,Rosaceae
Fraxinus angustifolia,TRSH,Fraxinus
Fraxinus excelsior-type,TRSH,Fraxinus
Fritillaria,HERB,Liliaceae
Genista-type,TRSH,Genista
Gladiolus/Romulea,HERB,Iridaceae
Hedera,TRSH,Araliaceae
Helianthemum,HERB,Cistaceae
Herniaria,HERB,Caryophyllaceae
Hypericum,HERB,Hypericaceae
Ilex,TRSH,Ilex
Jasione montana-type,HERB,Campanulaceae
Juglans,TRSH,Juglans
Juniperus communis-type,TRSH,Juniperus
Lamiaceae,HERB,Lamiaceae
Plantago lanceolata-type,HERB,Plantaginaceae
Ligustrum,TRSH,Ligustrum
Liliaceae-type,HERB,Liliaceae
Lythrum,HERB,Lythraceae
Plantago maritima-type,HERB,Plantaginaceae
Mentha-type,HERB,Lamiaceae
Mercurialis annua,HERB,Euphorbiaceae
Odontites-type,HERB,Orobanchaceae
Olea europaea,TRSH,Olea
Orlaya,HERB,Apiaceae
Ostrya/Carpinus orientalis,TRSH,Ostrya.Carpinus
Papaver,HERB,Papaveraceae
Paronychia,HERB,Caryophyllaceae
Peucedanum-type,HERB,Apiaceae
Phillyrea,TRSH,Phillyrea
Pinus,TRSH,Pinus
Pinguicula,HERB,Lentibulariaceae
Pistacia,TRSH,Pistacia
Platanus,TRSH,Platanus
Plantago major,HERB,Plantaginaceae
Poaceae,HERB,Poaceae
Populus,TRSH,Populus
Prunus-type,TRSH,Prunus
Psoralea bituminosa,HERB,Fabaceae
Quercus cerris-type,TRSH,Quercus
Quercus ilex-type,TRSH,Quercus
Quercus robur-type,TRSH,Quercus
Ranunculus acris-type,HERB,Ranunculaceae
Reseda,HERB,Resedaceae
Rhamnus-type,TRSH,Rhamnus
Rhamnaceae,TRSH,Rhamnaceae
Rhus coriaria-type,TRSH,Rhus
Rosaceae,TRSH,Rosaceae
Rubiaceae,HERB,Rubiaceae
Rumex/Oxyria,HERB,Rumex
Rumex acetosa-type,HERB,Rumex
Rumex acetosella,HERB,Rumex
Ruscus,TRSH,Asparagaceae
Ruta,TRSH,Rutaceae
Salix,TRSH,Salix
Sambucus nigra,TRSH,Sambucus
Sanguisorba minor-type,HERB,Rosaceae
Scabiosa,HERB,Caprifoliaceae
Scrophularia-type,HERB,Scrophulariaceae
Sedum-type,HERB,Crassulaceae
Silene dioica-type,HERB,Caryophyllaceae
Sorbus-type,TRSH,Sorbus
Spergularia-type,HERB,Caryophyllaceae
Symphytum,HERB,Boraginaceae
Taxus baccata,TRSH,Taxus
Thalictrum,HERB,Thalictrum
Theligonum cynocrambe,HERB,Rubiaceae
Trifolium pratense-type,HERB,Fabaceae
Trifolium-type,HERB,Fabaceae
Trifolium repens-type,HERB,Fabaceae
